pair,n_a,n_b,mean_diff,mannwhitney_p_raw,rank_biserial,welch_p_raw,cohens_d,effect_label,significant_holm
drive-thru vs kiosk,16,9,0.8194444444444429,0.9773475681021577,-0.01388888888888884,0.9011363377499206,0.050879498238131725,dapat diabaikan,False
drive-thru vs standard,16,66,18.329545454545453,3.481870055440552e-05,0.6695075757575757,0.0005270075528720253,1.7389202871906952,besar,True
drive-thru vs flagship,16,9,24.15277777777778,0.0025052679694062595,0.7430555555555556,7.70407409817817e-05,1.6825719661382375,besar,True
kiosk vs standard,9,66,17.51010101010101,0.0007394734712753973,0.696969696969697,0.007859109428939252,1.853488986386429,besar,True
kiosk vs flagship,9,9,23.333333333333336,0.007369728124850576,0.7530864197530864,0.001406238136935237,1.9188887760592963,besar,True
standard vs flagship,66,9,5.823232323232323,0.032011085029353605,0.4427609427609427,0.08009234494077572,0.6841677689475365,sedang,False
