pair,n_a,n_b,mean_diff,mannwhitney_p_raw,rank_biserial,welch_p_raw,cohens_d,effect_label,significant_holm
North vs West,23,25,1.9286956521739143,0.8360846450932595,-0.03652173913043477,0.6699015443250196,0.12644204549580176,dapat diabaikan,False
North vs East,23,27,2.2383252818035437,0.9455160340796724,-0.012882447665056307,0.6247582280509809,0.14410988333650068,dapat diabaikan,False
North vs South,23,25,5.968695652173913,0.4734866967295004,0.12173913043478257,0.18406039130930202,0.3997082649827428,kecil,False
West vs East,25,27,0.3096296296296295,0.811513714907137,0.040000000000000036,0.9270582891590874,0.02545873419025504,dapat diabaikan,False
West vs South,25,25,4.039999999999999,0.25098101393210714,0.1903999999999999,0.21029696084959898,0.35916432458270947,kecil,False
East vs South,27,25,3.7303703703703697,0.30733251671926853,0.16592592592592603,0.2569680168259709,0.31640460370987455,kecil,False
